season,week,team_name_raw,team_abbr_raw,team_name_std,team_abbr_std,attendance
2025,13,Cleveland Browns,CLE,Cleveland Browns,CLE,64042
2025,14,Cleveland Browns,CLE,Cleveland Browns,CLE,62982
2025,15,Cleveland Browns,CLE,Cleveland Browns,CLE,54051
2025,16,Cleveland Browns,CLE,Cleveland Browns,CLE,67580
2025,17,Cleveland Browns,CLE,Cleveland Browns,CLE,67194
2025,18,Cleveland Browns,CLE,Cleveland Browns,CLE,62230
2025,1,Dallas Cowboys,DAL,Dallas Cowboys,DAL,69879
2025,2,Dallas Cowboys,DAL,Dallas Cowboys,DAL,92781
2025,3,Dallas Cowboys,DAL,Dallas Cowboys,DAL,58389
2025,4,Dallas Cowboys,DAL,Dallas Cowboys,DAL,93353
2025,5,Dallas Cowboys,DAL,Dallas Cowboys,DAL,81738
2025,6,Dallas Cowboys,DAL,Dallas Cowboys,DAL,71619
2025,7,Dallas Cowboys,DAL,Dallas Cowboys,DAL,93051
2025,8,Dallas Cowboys,DAL,Dallas Cowboys,DAL,76545
2025,9,Dallas Cowboys,DAL,Dallas Cowboys,DAL,92211
2025,11,Dallas Cowboys,DAL,Dallas Cowboys,DAL,62625
2025,12,Dallas Cowboys,DAL,Dallas Cowboys,DAL,93068
2025,13,Dallas Cowboys,DAL,Dallas Cowboys,DAL,93739
2025,14,Dallas Cowboys,DAL,Dallas Cowboys,DAL,64028
2025,15,Dallas Cowboys,DAL,Dallas Cowboys,DAL,92991
2025,16,Dallas Cowboys,DAL,Dallas Cowboys,DAL,92740
